sep=,
Time,Temperature,Voltage,Current
s,deg.C/100,V,mA

1.4844899178,0.334,0,0
1.9844899178,0.334,0,0
2.4845099449,0.334,0,0
2.9845099449,0.334,0,0
3.4845199585,0.334,0,0
3.9845099449,0.334,0,0
4.4844799042,0.334,0,0
4.9845199585,0.334,0,0
5.4844799042,0.334,0,0
5.9845199585,0.334,0,0
6.4847700596,0.333,0,0
6.9844799042,0.333,0,0
7.4844200611,0.334,0,0
7.9844799042,0.333,0,0
8.4845099449,0.334,0,0
8.9844999313,0.333,0,0
9.4845099449,0.333,0,0
9.9845099449,0.333,0,0
10.4845099449,0.333,16.496,0
10.9845099449,0.333,16.688,0
11.4845099449,0.333,16.689,0
11.9845099449,0.333,16.689,1489
12.4844601154,0.333,16.69,1494
12.9844899178,0.332,16.69,1494
13.4844601154,0.333,16.69,1494
13.9844799042,0.333,16.69,1493
14.4845099449,0.334,16.691,1493
14.9844999313,0.334,16.691,1493
15.4844799042,0.335,16.691,1492
15.9844999313,0.336,16.691,1492
16.4845099449,0.337,16.691,1492
16.9844799042,0.338,16.691,1491
17.4844999313,0.339,16.691,1491
17.9844999313,0.34,16.691,1491
18.4844200611,0.341,16.691,1491
18.9845099449,0.342,16.692,1491
19.4845099449,0.344,16.692,1491
19.9844999313,0.346,16.692,1490
20.4845199585,0.347,16.692,1490
20.9845099449,0.347,16.692,1490
21.4845099449,0.35,16.692,1490
21.9845199585,0.352,16.692,1490
22.4844799042,0.353,16.692,1489
22.9844999313,0.355,16.692,1489
23.4844400883,0.357,16.692,1489
23.9845199585,0.358,16.692,1489
24.4844999313,0.36,16.692,1489
24.9845099449,0.361,16.692,1488
25.4844999313,0.363,16.692,1488
25.9844799042,0.366,16.693,1488
26.4844799042,0.367,16.692,1488
26.9845099449,0.368,16.692,1488
27.4844799042,0.371,16.693,1487
27.9845099449,0.373,16.693,1487
28.4845299721,0.375,16.693,1487
28.9845199585,0.376,16.693,1487
29.4844999313,0.378,16.693,1487
29.9844999313,0.381,16.693,1487
30.4844799042,0.383,16.693,1486
30.9845099449,0.386,16.693,1486
31.4844799042,0.388,16.693,1486
31.9844799042,0.389,16.693,1486
32.4844601154,0.392,16.693,1486
32.9844999313,0.394,16.693,1486
33.4845199585,0.395,16.693,1486
33.9844799042,0.398,16.693,1485
34.4844999313,0.398,16.693,1485
34.9845099449,0.398,16.693,1485
35.4845099449,0.398,16.694,1485
35.9845099449,0.398,16.694,1484
36.4844799042,0.409,16.694,1485
36.9844999313,0.41,16.694,1484
37.4844999313,0.413,16.693,1484
37.9844799042,0.415,16.694,1484
38.4844601154,0.418,16.694,1484
38.9844799042,0.419,16.694,1484
39.4844999313,0.422,16.694,1484
39.9844999313,0.424,16.694,1484
40.4845199585,0.426,16.694,1483
40.9845099449,0.429,16.694,1483
41.4844799042,0.43,16.694,1483
41.9844899178,0.433,16.694,1483
42.4844698906,0.435,16.694,1483
42.9845099449,0.438,16.694,1483
43.4844601154,0.44,16.694,1483
43.9844799042,0.442,16.694,1483
44.4845099449,0.444,16.694,1483
44.9844799042,0.445,16.694,1483
45.4844799042,0.449,16.694,1483
45.9844899178,0.451,16.694,1482
46.4844999313,0.452,16.694,1482
46.9845099449,0.454,16.694,1482
47.4844799042,0.457,16.694,1482
47.9845099449,0.46,16.694,1482
48.4844799042,0.462,16.694,1482
48.9844999313,0.465,16.694,1482
49.4845199585,0.466,16.694,1482
49.9845099449,0.469,16.694,1482
50.4845199585,0.47,16.694,1482
50.9844799042,0.473,16.694,1482
51.4845099449,0.475,16.694,1481
51.9844799042,0.477,16.694,1481
52.4845099449,0.48,16.694,1482
52.9845099449,0.482,16.694,1481
53.4845099449,0.483,16.694,1481
53.9845099449,0.486,16.694,1481
54.4844300747,0.489,16.694,1481
54.9844799042,0.491,16.694,1481
55.4844799042,0.493,16.694,1482
55.9844799042,0.496,16.694,1481
56.4844799042,0.497,16.694,1481
56.9844799042,0.5,16.694,1481
57.4844999313,0.502,16.694,1481
57.9844799042,0.503,16.694,1481
58.4844999313,0.506,16.694,1481
58.9845099449,0.509,16.694,1481
59.4845099449,0.512,16.694,1481
59.9845099449,0.513,16.694,1481
60.4844799042,0.515,16.694,1481
60.9844799042,0.516,16.694,1481
61.4844799042,0.519,16.694,1481
61.9844899178,0.521,16.694,1481
62.4844799042,0.524,16.694,1481
62.9844799042,0.525,16.694,1481
63.4845099449,0.527,16.694,1481
63.9845099449,0.53,16.694,1480
64.4844999313,0.533,16.694,1481
64.9845199585,0.535,16.694,1481
65.4845199585,0.536,16.694,1480
65.9845099449,0.538,16.694,1480
66.4844300747,0.54,16.694,1481
66.9845099449,0.543,16.694,1481
67.4845099449,0.543,16.694,1480
67.9844999313,0.547,16.694,1480
68.4844698906,0.549,16.694,1480
68.9844999313,0.552,16.694,1480
69.4845099449,0.553,16.694,1480
69.9844200611,0.555,16.694,1480
70.4844799042,0.558,16.694,1480
70.9845099449,0.56,16.694,1480
71.4844799042,0.563,16.694,1480
71.9844799042,0.564,16.694,1480
72.4844300747,0.566,16.694,1479
72.9845099449,0.569,16.694,1479
73.4844698906,0.57,16.694,1479
73.9845099449,0.573,16.694,1479
74.4844999313,0.575,16.694,1480
74.9845299721,0.576,16.694,1479
75.4844799042,0.579,16.694,1479
75.9844698906,0.581,16.694,1479
76.4845299721,0.582,16.694,1479
76.9845099449,0.586,16.694,1479
77.4845099449,0.588,16.694,1479
77.9844799042,0.589,16.694,1479
78.4844799042,0.592,16.694,1479
78.9844899178,0.594,16.693,1479
79.4844799042,0.596,16.694,1479
79.9845299721,0.597,16.694,1479
80.4844799042,0.6,16.694,1479
80.9845099449,0.602,16.694,1479
81.4844799042,0.604,16.694,1479
81.9845099449,0.606,16.694,1479
82.4845199585,0.609,16.694,1479
82.9844799042,0.61,16.693,1479
83.4845099449,0.612,16.693,1479
83.9845199585,0.615,16.694,1479
84.4844501019,0.617,16.694,1479
84.9844999313,0.618,16.694,1479
85.4844799042,0.621,16.693,1479
85.9844200611,0.622,16.694,1479
86.4844799042,0.624,16.694,1479
86.9844799042,0.627,16.694,1479
87.4845099449,0.629,16.694,1479
87.9844799042,0.631,16.694,1479
88.4844799042,0.633,16.694,1479
88.9845199585,0.636,16.694,1479
89.4845099449,0.637,16.693,1479
89.9845099449,0.64,16.694,1479
90.4845099449,0.64,16.694,1479
90.9844799042,0.643,16.694,1478
91.4844601154,0.645,16.693,1479
91.9844999313,0.647,16.693,1479
92.4844999313,0.648,16.694,1479
92.9845099449,0.651,16.694,1479
93.4845099449,0.653,16.693,1479
93.9844999313,0.654,16.694,1479
94.4844799042,0.657,16.694,1478
94.9844799042,0.659,16.694,1479
95.4844999313,0.661,16.694,1478
95.9845099449,0.662,16.693,1479
96.4844400883,0.665,16.694,1479
96.9845199585,0.667,16.694,1479
97.4844999313,0.668,16.694,1479
97.9845099449,0.671,16.694,1479
98.4844698906,0.673,16.694,1479
98.9845099449,0.674,16.693,1479
99.4845099449,0.677,16.694,1478
99.9845099449,0.677,16.694,1478
100.4845099449,0.68,16.694,1479
100.9844999313,0.682,16.694,1478
101.4844799042,0.685,16.694,1478
101.9844799042,0.687,16.693,1479
102.4844400883,0.689,16.693,1479
102.9844300747,0.69,16.693,1478
103.4844799042,0.693,16.693,1478
103.9845099449,0.695,16.693,1478
104.4845099449,0.697,16.694,1477
104.9844799042,0.698,16.693,1476
105.4844899178,0.701,16.693,1476
105.9845199585,0.703,16.694,1475
106.4845199585,0.706,16.694,1475
106.9845099449,0.708,16.693,1476
107.4845099449,0.709,16.693,1476
107.9844899178,0.712,16.693,1476
108.4844501019,0.714,16.693,1476
108.9845099449,0.715,16.694,1476
109.4845099449,0.718,16.693,1476
109.9845199585,0.719,16.693,1476
110.4845099449,0.721,16.694,1476
110.9844799042,0.723,16.693,1476
111.4845099449,0.725,16.694,1476
111.9845099449,0.726,16.694,1476
112.4845099449,0.729,16.694,1476
112.9845099449,0.732,16.693,1477
113.4845199585,0.733,16.693,1477
113.9844799042,0.734,16.693,1477
114.4844601154,0.737,16.693,1477
114.9844999313,0.739,16.693,1477
115.4845099449,0.74,16.693,1477
115.9845099449,0.743,16.693,1477
116.4845199585,0.744,16.693,1477
116.9845099449,0.746,16.693,1477
117.4845099449,0.749,16.693,1477
117.9845199585,0.751,16.693,1477
118.4845099449,0.752,16.693,1477
118.9844799042,0.755,16.693,1477
119.4845099449,0.757,16.693,1477
119.9845099449,0.759,16.693,1477
120.4844799042,0.76,16.694,1477
120.9845099449,0.762,16.693,1477
121.4845199585,0.763,16.693,1477
121.9845199585,0.765,16.693,1477
122.4845099449,0.767,16.693,1477
122.9844799042,0.768,16.693,1477
123.4844799042,0.771,16.693,1477
123.9845099449,0.773,16.694,1477
124.4844799042,0.774,16.694,1477
124.9845199585,0.777,16.693,1477
125.4844899178,0.779,16.693,1477
125.9845099449,0.781,16.694,1477
126.4845099449,0.783,16.693,1477
126.9845099449,0.784,16.693,1477
127.4845099449,0.786,16.693,1477
127.9844799042,0.788,16.693,1477
128.4844698906,0.79,16.694,1477
128.9845099449,0.792,16.693,1477
129.4844999313,0.793,16.693,1478
129.9845099449,0.795,16.694,1477
130.4844899178,0.797,16.694,1478
130.9845099449,0.799,16.693,1477
131.4845099449,0.8,16.693,1478
131.9844799042,0.802,16.693,1477
132.4844501019,0.804,16.694,1478
132.9845099449,0.805,16.693,1477
133.4844698906,0.807,16.693,1477
133.9845099449,0.809,16.693,1477
134.4845099449,0.812,16.694,1478
134.9845099449,0.813,16.693,1477
135.4844999313,0.815,16.694,1478
135.9845099449,0.816,16.694,1477
136.4845099449,0.819,16.694,1477
136.9844799042,0.821,16.693,1477
137.4844799042,0.822,16.694,1477
137.9844799042,0.824,16.694,1477
138.4844501019,0.824,16.694,1477
